哈尔滨	45.7000210000,126.5423880000
长春	43.9344880000,125.3002580000
沈阳	41.6937010000,123.3224130000
大连	39.0310340000,121.6304210000
唐山	39.6025620000,118.2698830000
北京	40.0947500000,116.4166970000
天津	39.1575590000,117.3699640000
济南	36.6257100000,116.8311620000
青岛	36.1748460000,120.4597930000
临沂	35.0141150000,118.2712030000
徐州	34.2799770000,117.3236660000
东营	37.4384290000,118.6304110000
石家庄	38.0006360000,114.5106320000
太原	37.9436210000,112.5197210000
呼市	40.8095060000,111.5866720000
上海	31.2413260000,121.4172920000
合肥	31.7977240000,117.3476490000
南京	32.1059600000,118.8881140000
常州	31.7560790000,119.9183670000
无锡	31.5066110000,120.3726710000
苏州	31.3256250000,120.5533940000
杭州	30.3285580000,120.1701430000
宁波	29.8590580000,121.5806770000
台州	28.5628110000,121.3300830000
温州	27.9607660000,120.6642480000
福州	25.9170240000,119.3714440000
厦门	24.5137270000,118.1530990000
汕头	23.3666680000,116.7426860000
郑州	34.8329150000,113.6564450000
武汉	30.6087510000,114.2264070000
长沙	28.2405550000,113.0659320000
重庆	29.5925800000,106.6037800000
成都	30.5692570000,104.0152190000
贵阳	26.5389120000,106.5006050000
昆明	25.0412120000,102.7995810000
西安	34.2814410000,108.8201320000
广州	23.0788370000,113.3256050000
惠州	23.1481860000,114.4286320000
东莞	23.0098330000,113.8641320000
佛山	23.0690270000,113.1322190000
深圳	22.5651740000,113.9652170000
南宁	22.8649270000,108.2934880000
